stay_id,stay_added,start_date,end_date,duration,pet_total,service_type,owner_id,sitter_id,new_to_rover,booking_total_usd,postal_code
312965,2015-10-01 15:08:24,2015-10-02,2015-10-04,2,1,overnight-boarding,1047059,713088,1,63,78704
458737,2015-10-01 15:09:27,2015-10-03,2015-10-04,1,2,overnight-traveling,740188,473070,0,50,95008
313359,2015-10-01 15:10:46,2015-10-04,2015-10-04,1,2,overnight-boarding,996512,210085,0,33,43054
313642,2015-10-01 15:10:50,2015-10-01,2015-10-04,3,1,overnight-boarding,340737,941421,0,45,84041
313442,2015-10-01 15:12:25,2015-10-10,2015-10-12,2,1,overnight-boarding,169859,64822,0,80,83714
313647,2015-10-01 15:14:52,2015-10-22,2015-10-23,1,1,overnight-boarding,121779,299923,0,45,96753
304451,2015-10-01 15:15:47,2015-10-03,2015-10-07,4,1,overnight-boarding,1030077,711904,1,96.6,32803
313636,2015-10-01 15:16:34,2015-10-02,2015-10-04,2,2,overnight-boarding,972287,594197,0,100,37221
313599,2015-10-01 15:16:34,2015-10-16,2015-10-17,1,2,overnight-boarding,669686,474946,0,58,20895
458972,2015-10-01 15:17:49,2015-10-09,2015-10-11,2,1,overnight-traveling,1032284,762794,0,38,37215
313529,2015-10-01 15:18:15,2015-10-01,2015-10-06,5,1,overnight-boarding,621071,211879,0,125,3307
458763,2015-10-01 15:18:46,2015-10-12,2015-10-15,3,2,overnight-traveling,617952,642945,0,90,60660
313611,2015-10-01 15:19:38,2015-10-17,2015-10-18,1,1,overnight-boarding,1020780,749087,0,45,60514
309230,2015-10-01 15:19:52,2015-10-01,2015-10-04,3,2,overnight-boarding,1039864,450984,1,135,85718
313460,2015-10-01 15:19:57,2015-10-17,2015-10-17,1,1,overnight-boarding,861979,517788,0,37,94618
313646,2015-10-01 15:20:37,2015-10-02,2015-10-04,2,1,overnight-boarding,595326,1035871,0,58,98040
313471,2015-10-01 15:22:25,2015-10-08,2015-10-08,1,2,overnight-boarding,171912,536396,0,50,94552
313351,2015-10-01 15:23:30,2015-10-09,2015-10-12,3,1,overnight-boarding,1047743,855678,1,78.75,28036
311594,2015-10-01 15:23:54,2015-10-07,2015-10-10,3,1,overnight-boarding,1030942,629282,0,100.8,90293
309649,2015-10-01 15:24:53,2015-10-02,2015-10-03,1,1,overnight-boarding,845273,759069,0,26,85050
458588,2015-10-01 15:25:16,2015-10-06,2015-10-11,5,1,overnight-traveling,931625,908831,0,140,27511
458981,2015-10-01 15:25:27,2015-10-09,2015-10-11,2,2,overnight-traveling,993991,861699,0,80,92115
313512,2015-10-01 15:26:10,2015-10-02,2015-10-10,8,1,overnight-boarding,873586,529782,0,231.92,92104
313270,2015-10-01 15:27:21,2015-10-17,2015-10-18,1,2,overnight-boarding,728143,356379,0,60,20111
458156,2015-10-01 15:28:09,2015-10-02,2015-10-03,1,2,overnight-traveling,179563,702519,0,50,64114
313663,2015-10-01 15:28:26,2015-10-09,2015-10-12,3,2,overnight-boarding,913982,586549,0,150,29492
313610,2015-10-01 15:28:56,2015-10-10,2015-10-11,1,1,overnight-boarding,977284,693544,0,23,28209
313588,2015-10-01 15:29:07,2015-10-14,2015-10-16,2,1,overnight-boarding,659062,458767,0,50,30045
313590,2015-10-01 15:29:11,2015-10-04,2015-10-07,3,1,overnight-boarding,667893,195059,0,114,92675
458211,2015-10-01 15:29:57,2015-10-02,2015-10-04,2,2,overnight-traveling,1042143,367449,1,195.3,92782
309349,2015-10-01 15:31:00,2015-09-30,2015-10-01,1,1,overnight-boarding,688242,369835,0,30,95945
313481,2015-10-01 15:31:48,2015-10-18,2015-10-20,2,2,overnight-boarding,622321,26272,0,120,98116
312314,2015-10-01 15:32:04,2015-10-03,2015-10-11,8,1,overnight-boarding,922503,474180,0,200,77389
313670,2015-10-01 15:32:24,2015-10-03,2015-10-04,1,1,overnight-boarding,1011366,525346,0,36,98040
